experiment,day,cellcount,viability,sg,plato,pH,alcohol
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0
ME Hard Seltzer HG,1,6350000,0.9,1.06281,15.39949941,5.97,0.0069
ME Hard Seltzer HG,4,9170000,0.87,1.0003,0.080389319,3.9,0.0889
ME Hard Seltzer HG,5,6000000,0.87,0.99048,-2.472018201,3.94,0.1014
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0
ME Hard Seltzer HG,1,5860000,0.93,1.06261,15.35304514,6.01,0.0076
ME Hard Seltzer HG,4,11000000,0.93,0.99439,-1.450988561,4.06,0.0978
ME Hard Seltzer HG,5,6400000,0.92,0.99178,-2.131848688,4.17,0.1018
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0
ME Hard Seltzer HG,1,5550000,0.92,1.06281,15.39949941,6.02,0.0077
ME Hard Seltzer HG,4,13000000,0.95,0.99208,-2.053446598,4.22,0.1012
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0
ME Hard Seltzer HG,1,6110000,0.92,1.06251,15.32981184,5.92,0.0074
ME Hard Seltzer HG,4,12400000,0.99,1.0002,0.054596986,3.93,0.0899
ME Hard Seltzer HG,5,8820000,0.91,0.99158,-2.184137283,3.98,0.1018
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0
ME Hard Seltzer HG,1,5580000,0.92,1.06231,15.28333292,5.98,0.0076
ME Hard Seltzer HG,4,10600000,0.98,0.9999,-0.022804653,3.89,0.09
ME Hard Seltzer HG,5,7160000,0.91,0.99148,-2.210287741,3.94,0.1018
ME Hard Seltzer HG,0,8400000,,1.06481,15.86313864,,0
ME Hard Seltzer HG,1,5990000,0.93,1.06261,15.35304514,5.97,0.0073
ME Hard Seltzer HG,4,11500000,0.99,1.0007,0.18351758,3.93,0.0891
ME Hard Seltzer HG,5,10400000,0.92,0.99168,-2.157990932,3.98,0.1018
A,0,,,1.06652,16.25824744,4.08,0
B,0,,,1.06652,16.25824744,5,0
Hybrid,0,,,1.06652,16.25824744,2.98,0
C,0,,,1.06652,16.25824744,3.14,0
A,6,,,1.03536,8.870047928,3.66,0.0336
B,6,,,1.04257,10.61503598,4.7,0.0336
Hybrid,6,,,0.99744,-0.658892322,3.1,0.0923
C,6,,,1.01823,4.638570416,4.638570416,0.0647
A,7,,,1.02765,6.980426498,3.62,0.04
B,7,,,1.03807,9.5284353,4.61,0.04
Hybrid,7,,,0.99258,-1.922858587,3.13,0.0918
C,7,,,1.01102,2.821509098,,0.0772
A,10,,,,,3.57,0.064
B,10,,,1.02735,6.906406924,4.38,0.056
C,10,,,1.008586,2.203273179,4.48,0.09
A,13,,,1.00891,2.285709552,3.52,0.0814
B,13,,,1.01943,4.938921574,4.36,0.065
C,13,,,0.99379,-1.607260482,4.6,0.101
A,14,,,1.0012,0.3123355,3.52,0.0885
B,14,,,1.01212,3.100110796,4.2,0.0756
C,14,,,0.98918,-2.812881786,5.23,0.1069
ME Hard Selzter HG Low Dose,0,,,1.06481,15.86313864,,0
ME Hard Selzter HG Low Dose,1,,,1.06071,14.91091018,5.71,0.0089
ME Hard Selzter HG Low Dose,4,,,1.01512,3.857407839,3.61,0.0647
ME Hard Selzter HG Low Dose,5,,,1.00501,1.29055603,3.57,0.0786
ME Hard Selzter HG Low Dose,6,,,0.99559,-1.138888269,3.63,0.0949
ME Hard Selzter HG Low Dose,7,,,0.99128,-2.262600977,3.62,0.101
