Run,Day,Glu + Fru,Acetaldehyde,Specific Gravity,Plato,pH,Alcohol,Dosage,Date
33,0,,,1.10055,23.9,7.35,0,6.2,2022-02-14
34,0,,,1.1056,25,7.28,0,6.6,2022-02-14
35,0,,,1.10959,25.8,7.27,0,6.6,2022-02-14
36,0,,,1.11451,26.9,7.27,0,6.6,2022-02-14
37,0,,,1.11957,27.9,7.23,0,6.6,2022-02-14
38,0,,,1.12356,28.7,7.24,0,6.6,2022-02-14
39,0,,,1.12861,29.8,7.24,0,6.6,2022-02-14
40,0,,,1.133,30.7,7.23,0,6.6,2022-02-14
33,1,,,1.09256,22.1,5.9,0.0056,,2022-02-15
34,1,,,1.10348,24.5,5.92,0.0056,,2022-02-15
35,1,,,1.10799,25.5,5.94,0.0054,,2022-02-15
36,1,,,1.1126,26.5,5.93,0.0056,,2022-02-15
37,1,,,1.11581,27.1,5.93,0.0052,,2022-02-15
38,1,,,1.12152,28.3,5.94,0.0056,,2022-02-15
39,1,,,1.12654,29.4,5.96,0.0053,,2022-02-15
40,1,,,1.13053,30.2,5.97,0.005,,2022-02-15
33,2,,,1.07353,17.9,4.67,0.0276,,2022-02-16
34,2,,,1.08395,20.2,4.81,0.0281,,2022-02-16
35,2,,,1.0881,21.1,4.93,0.026,,2022-02-16
36,2,,,1.09527,22.7,4.98,0.0255,,2022-02-16
37,2,,,1.10198,24.2,5.1,0.0229,,2022-02-16
38,2,,,1.10629,25.1,5.09,0.0229,,2022-02-16
39,2,,,1.1138,26.7,5.28,0.0196,,2022-02-16
40,2,,,1.11931,27.9,5.32,0.0181,,2022-02-16
33,3,,,1.04919,12.2,4.23,0.0589,,2022-02-17
34,3,,,1.0575,14.2,4.29,0.0621,,2022-02-17
35,3,,,1.06371,15.6,4.34,0.0595,,2022-02-17
36,3,,,1.06942,16.9,4.36,0.0584,,2022-02-17
37,3,,,1.07633,18.5,4.37,0.055,,2022-02-17
38,3,,,1.08154,19.7,4.38,0.0537,,2022-02-17
39,3,,,1.09036,21.6,4.48,0.0481,,2022-02-17
40,3,,,1.09607,22.9,4.42,0.0464,,2022-02-17
33,4,,,1.02945,7.4,4.16,0.0934,,2022-02-18
